Date,temp,dew_point,humidity,sea_level_pressure_in,visibility_miles,wind_speed,precipitation_in,season,count,weather
11/11/2014,42,18,42,30.28,10,5,0,3,270,多云~晴
11/12/2014,39,4,24,30.25,10,8,0,3,296,晴
11/13/2014,40,9,30,30.01,10,4,0,3,318,晴
11/14/2014,38,18,48,30.15,10,2,0,3,267,多云
11/15/2014,38,18,51,30.46,10,1,0,3,245,晴
11/16/2014,39,21,53,30.45,10,1,0,3,189,晴
11/17/2014,41,25,60,30.31,10,1,0,3,279,晴
11/18/2014,39,31,75,30.13,8,1,0,3,293,多云~晴
11/19/2014,44,34,66,29.93,9,2,0,3,341,多云
11/20/2014,49,43,80,29.96,10,4,0.11,3,234,小雨~中雨
11/21/2014,52,45,79,29.58,8,7,0.67,3,159,小雨~多云
11/22/2014,48,41,77,29.88,10,8,0.03,3,240,中雨
11/23/2014,50,42,74,30.18,10,10,0.42,3,207,小雨
11/24/2014,47,41,79,30.23,8,6,0.01,3,217,中雨~阴
11/25/2014,56,50,83,30.17,6,6,0.33,3,174,小雨~中雨
11/26/2014,59,52,75,30.04,10,11,0.01,3,290,中雨~小雨
11/27/2014,58,49,70,29.81,10,12,0.04,3,122,小雨
11/28/2014,48,43,80,29.54,7,9,1.39,3,62,中雨~小雨
11/29/2014,35,25,67,29.84,9,6,0.06,3,63,中雨~雨夹雪
11/30/2014,33,21,64,30.19,10,2,0,3,111,阵雪~晴
12/1/2014,34,21,62,30.17,10,1,0,3,205,多云~晴
12/2/2014,35,26,68,30.12,10,3,0,3,221,晴
12/3/2014,40,27,58,29.82,10,1,0,3,252,晴
12/4/2014,44,37,74,29.86,9,2,0.05,3,227,多云~小雨
12/5/2014,50,44,82,29.91,9,2,0.09,3,209,中雨~小雨
12/6/2014,52,46,82,30.06,9,7,0.25,3,149,中雨~小雨
12/7/2014,49,43,80,30.12,8,0,0,3,174,小雨
12/8/2014,55,44,70,29.96,10,3,0.45,3,205,多云~小雨
12/9/2014,57,50,76,29.81,9,8,0.42,3,236,小雨~中雨
12/10/2014,61,48,69,29.46,10,10,0.5,3,171,中雨
12/11/2014,55,43,69,29.31,10,8,0.33,3,185,中雨~小雨
12/12/2014,52,43,73,29.83,10,10,0,3,249,中雨~小雨
12/13/2014,46,41,82,30.2,8,3,0.01,3,208,小雨~多云
12/14/2014,47,34,70,30.12,7,2,0,3,184,多云
12/15/2014,48,28,41,29.9,10,6,0,3,238,晴
12/16/2014,48,33,53,29.84,10,5,0,3,246,小雨
12/17/2014,48,41,77,29.86,9,1,0.16,3,191,小雨~多云
12/18/2014,48,43,83,29.86,8,4,0.6,3,165,小雨
12/19/2014,50,41,70,29.9,10,8,0.13,3,300,小雨~中雨
12/20/2014,52,46,83,29.58,7,7,0.6,3,78,小雨~中雨
12/21/2014,55,46,72,29.91,10,7,0,3,141,中雨
12/22/2014,48,40,72,30.31,10,1,0,4,259,小雨
12/23/2014,48,42,80,30.17,7,5,0.61,4,127,多云~阴
12/24/2014,44,38,80,29.98,10,5,0.12,4,129,中雨
12/25/2014,42,37,79,30.2,10,3,0,4,149,小雨~多云
12/26/2014,42,36,80,30.36,9,4,0,4,195,多云
12/27/2014,47,40,78,30.13,9,8,0.12,4,119,多云~小雨
12/28/2014,44,38,79,30.17,10,5,0.06,4,133,中雨~小雨
12/29/2014,42,28,62,30.43,10,3,0,4,176,小雨~雨夹雪
12/30/2014,34,17,51,30.81,10,1,0,4,174,晴
12/31/2014,34,22,60,30.58,10,2,0,4,136,晴
1/1/2015,35,25,70,30.31,10,0,0,4,164,晴
1/2/2015,38,32,76,30.16,10,4,0.03,4,136,晴
1/3/2015,38,35,84,30.26,7,2,0,4,151,小雨~多云
1/4/2015,48,41,84,30.14,8,7,0.22,4,51,阴~小雨
1/5/2015,56,50,81,30.18,8,14,0.07,4,180,中雨
1/6/2015,50,46,84,30.29,7,2,0.01,4,287,中雨~阴
1/7/2015,47,43,85,30.28,5,2,0,4,315,阴~多云
1/8/2015,44,38,82,30.17,6,3,0,4,333,晴
1/9/2015,44,39,86,30.09,4,2,0.01,4,298,多云~雾
1/10/2015,46,44,88,30.03,3,1,0.18,4,133,多云~小雨
1/11/2015,48,45,85,30.14,5,1,0.06,4,101,小雨
1/12/2015,49,41,78,30.35,10,1,0,4,281,小雨~多云
1/13/2015,44,38,80,30.43,9,2,0,4,296,多云
1/14/2015,42,34,77,30.24,7,3,0,4,280,多云~晴
1/15/2015,41,34,73,30.03,9,3,0.43,4,206,晴~小雨
1/16/2015,50,40,71,30.08,10,8,0,4,309,中雨
1/17/2015,46,41,84,29.89,6,1,0.76,4,131,多云
1/18/2015,54,44,73,30.04,9,14,0.23,4,88,中雨
1/19/2015,49,42,76,30.39,10,5,0.03,4,273,中雨~小雨
1/20/2015,46,38,76,30.41,10,1,0,4,320,阴
1/21/2015,40,35,81,30.29,6,1,0,4,300,多云
1/22/2015,48,43,81,30.33,9,1,0.03,4,276,多云
1/23/2015,54,49,84,30.32,8,6,0.08,4,214,中雨
1/24/2015,58,52,82,30.26,10,7,0.02,4,230,多云
1/25/2015,57,49,77,30.11,10,3,0.01,4,262,多云
1/26/2015,55,46,77,29.95,7,4,0,4,317,多云
1/27/2015,52,47,83,30.1,6,6,0.02,4,249,多云
1/28/2015,50,42,76,30.36,10,2,0,4,336,多云
1/29/2015,48,38,71,30.34,10,1,0,4,320,多云
1/30/2015,44,38,85,30.3,3,1,0,4,307,多云
1/31/2015,42,39,83,30.22,4,1,0,4,224,多云
2/1/2015,48,42,82,30.06,7,5,0.04,4,126,多云
2/2/2015,50,43,79,29.94,7,5,0.3,4,182,多云
2/3/2015,48,44,83,30.08,8,5,0.03,4,242,多云
2/4/2015,47,43,84,29.95,6,2,0.3,4,212,多云
2/5/2015,54,49,83,29.54,8,7,0.87,4,172,多云
2/6/2015,56,50,78,29.4,8,10,0.75,4,186,多云
2/7/2015,54,48,81,29.56,8,6,0.82,4,122,多云
2/8/2015,54,45,72,29.82,10,5,0.15,4,179,多云
2/9/2015,52,48,80,29.78,9,4,0.15,4,252,多云
2/10/2015,52,46,73,30.23,10,9,0.02,4,287,多云
2/11/2015,51,45,78,30.2,10,1,0,4,306,中雨~阴
2/12/2015,62,47,70,30.24,10,4,0.02,4,325,多云
2/13/2015,54,47,80,30.18,10,1,0,4,384,多云
2/14/2015,54,46,75,30.36,10,2,0.05,4,387,多云
2/15/2015,48,40,72,30.4,10,3,0,4,321,多云
2/16/2015,53,37,63,30.3,10,4,0,4,249,多云
2/17/2015,52,35,57,30.17,10,1,0,4,340,多云
2/18/2015,48,39,67,30.22,10,5,0,4,306,多云
2/19/2015,51,46,79,30.26,9,2,0.03,4,244,多云
2/20/2015,52,45,77,30.28,8,0,0.02,4,260,多云
2/21/2015,50,38,67,30.33,10,3,0,4,381,多云
2/22/2015,45,31,62,30.43,10,1,0,4,248,多云
2/23/2015,44,30,57,30.41,10,1,0,4,273,多云
2/24/2015,45,33,62,30.38,10,3,0,4,280,多云
2/25/2015,49,43,79,30.36,8,3,0.07,4,206,多云
2/26/2015,51,45,81,30.1,8,2,0.22,4,277,多云
2/27/2015,51,43,75,29.79,9,4,0.73,4,218,多云
2/28/2015,47,28,47,30.16,10,5,0,4,365,多云
3/1/2015,44,30,56,30.13,10,3,0,4,246,多云
3/2/2015,49,34,58,30.05,10,6,0,4,282,多云
3/3/2015,42,24,53,30.23,10,3,0,4,296,多云
3/4/2015,44,24,49,30.29,10,2,0,4,327,多云
3/5/2015,48,32,55,30.36,10,3,0,4,282,多云
3/6/2015,49,37,63,30.39,10,1,0,4,351,多云
3/7/2015,50,39,66,30.31,10,2,0,4,462,多云~晴
3/8/2015,50,40,67,30.19,10,1,0,4,417,晴
3/9/2015,49,41,73,30.1,10,3,0,4,319,晴~多云
3/10/2015,50,42,76,29.93,5,4,0,4,374,多云
3/11/2015,56,48,75,29.98,10,6,0.09,4,310,多云~小雨
3/12/2015,60,47,66,30.33,10,8,0,4,416,小雨
3/13/2015,59,45,63,30.1,10,2,0.04,4,364,小雨~多云
3/14/2015,58,49,76,29.9,8,7,0.54,4,246,多云~小雨
3/15/2015,50,44,84,29.8,5,4,2.2,4,34,中雨
3/16/2015,52,42,71,30.19,10,4,0,4,304,中雨
3/17/2015,51,42,73,30.1,10,3,0.03,4,319,多云
3/18/2015,54,42,64,30.26,10,4,0,4,359,小雨~多云
3/19/2015,56,43,63,30.1,10,4,0.01,4,371,多云
3/20/2015,56,47,74,29.93,10,2,0.12,4,302,小雨~阴
3/21/2015,55,44,67,30.04,10,9,0.13,1,314,小雨~中雨
3/22/2015,49,43,76,29.99,9,2,0.07,1,187,小雨~晴
3/23/2015,48,41,81,29.95,7,4,0.2,1,239,中雨
3/24/2015,52,41,72,30.12,9,4,0.27,1,361,小雨
3/25/2015,54,48,78,30.24,9,7,0.15,1,274,小雨
3/26/2015,62,49,67,30.23,10,5,0,1,533,中雨~多云
3/27/2015,59,48,70,30.02,10,4,0.01,1,434,多云~晴
3/28/2015,58,43,63,30.23,10,13,0,1,306,小雨~中雨
3/29/2015,57,44,63,30.23,10,7,0,1,263,小雨~多云
3/30/2015,60,47,64,30,10,7,0.02,1,406,多云
3/31/2015,50,41,72,30.06,9,7,0.31,1,282,多云~中雨
4/1/2015,50,40,73,30.27,10,5,0.05,1,375,大雨~小雨
4/2/2015,50,38,66,30.37,10,3,0,1,365,大雨~雷阵雨
4/3/2015,49,39,68,30.2,9,7,0.05,1,320,多云
4/4/2015,48,34,58,30.08,10,4,0,1,416,中雨~小雨
4/5/2015,50,34,56,29.76,10,2,0,1,304,小雨~多云
4/6/2015,52,37,58,29.81,10,6,0,1,349,小雨
4/7/2015,54,40,63,29.86,10,4,0.01,1,400,小雨~多云
4/8/2015,54,40,62,30.07,10,3,0,1,419,小雨~多云
4/9/2015,54,40,61,30.08,10,5,0,1,456,小雨~晴
4/10/2015,54,42,68,29.87,9,6,0.52,1,391,多云
4/11/2015,50,38,65,29.95,10,8,0.02,1,196,小雨~中雨
4/12/2015,52,36,57,30.17,10,6,0,1,255,小雨
4/13/2015,48,42,80,29.95,8,4,0.46,1,221,多云
4/14/2015,47,39,78,30.25,10,8,0.05,1,321,中雨~小雨
4/15/2015,49,34,57,30.51,10,4,0,1,357,雷阵雨~多云
4/16/2015,52,37,56,30.34,10,2,0,1,468,多云~晴
4/17/2015,56,42,57,30.25,10,3,0,1,624,晴
4/18/2015,57,41,55,30.31,10,2,0,1,746,多云~晴
4/19/2015,58,43,56,30.13,10,2,0,1,754,晴
4/20/2015,60,42,50,29.91,10,2,0,1,941,晴
4/21/2015,56,44,68,29.98,9,3,0.16,1,583,晴
4/22/2015,52,37,62,30.14,10,5,0,1,522,阴~小雨
4/23/2015,50,38,64,29.89,9,7,0.1,1,320,多云
4/24/2015,52,40,70,29.82,9,10,0.15,1,386,小雨
4/25/2015,52,38,62,29.98,10,2,0.01,1,455,小雨
4/26/2015,52,39,62,30.2,10,5,0,1,344,雷阵雨~晴
4/27/2015,66,50,66,30.14,10,6,0,1,518,小雨
4/28/2015,56,48,73,30.09,9,6,0.11,1,317,多云~小雨
4/29/2015,56,42,64,30.24,10,6,0.01,1,339,小雨
4/30/2015,57,41,57,30.25,10,5,0,1,436,小雨~多云
5/1/2015,59,44,58,30.06,10,4,0,1,450,多云
5/2/2015,58,38,51,30.05,10,4,0,1,548,多云
5/3/2015,57,37,49,29.96,10,3,0,1,472,多云~晴
5/4/2015,55,41,59,29.93,10,6,0,1,401,晴
5/5/2015,54,42,68,30.05,9,8,0.18,1,306,小雨
5/6/2015,56,40,62,30.12,10,3,0,1,408,大雨~雷阵雨
5/7/2015,58,39,52,30.11,10,3,0,1,556,小雨~晴
5/8/2015,62,40,47,30.02,10,2,0,1,650,晴
5/9/2015,66,39,42,30.06,10,2,0,1,793,晴
5/10/2015,62,47,59,30.04,10,3,0,1,440,晴~多云
5/11/2015,56,47,71,29.99,10,5,0,1,445,多云
5/12/2015,58,49,75,29.85,10,4,0.11,1,418,小雨
5/13/2015,54,48,78,29.89,9,7,0.14,1,318,大雨~中雨
5/14/2015,60,47,72,29.9,9,1,0,1,483,小雨
5/15/2015,60,48,69,29.88,10,2,0.01,1,548,多云~晴
5/16/2015,58,48,67,29.99,10,6,0,1,406,多云
5/17/2015,62,48,64,30.06,10,2,0,1,437,多云~阴
5/18/2015,66,49,56,30.05,10,3,0,1,534,大雨~雷阵雨
5/19/2015,65,52,67,30.07,10,2,0,1,509,小雨~多云
5/20/2015,64,51,68,29.96,9,4,0,1,516,多云
5/21/2015,68,52,57,29.85,10,2,0,1,587,多云
5/22/2015,60,50,70,29.99,10,6,0,1,458,多云
5/23/2015,59,49,70,30.16,10,5,0,1,537,小雨
5/24/2015,60,49,67,30.1,10,5,0,1,455,小雨~多云
5/25/2015,58,48,68,30.02,10,6,0,1,408,多云
5/26/2015,64,50,61,30.03,10,4,0,1,463,阴~晴
5/27/2015,67,52,60,30.04,10,2,0,1,618,多云
5/28/2015,70,52,55,30.03,10,2,0,1,636,多云~晴
5/29/2015,71,53,56,29.95,10,2,0,1,625,多云~晴
5/30/2015,63,47,59,29.94,10,5,0,1,585,多云~晴
5/31/2015,65,49,59,29.85,10,4,0,1,538,多云~晴
6/1/2015,60,50,71,29.9,10,5,0.09,1,323,多云~阴
6/2/2015,60,50,68,30.02,10,8,0,1,460,小雨
6/3/2015,62,48,62,30.06,10,5,0,1,460,小雨
6/4/2015,65,46,53,30.11,10,3,0,1,564,小雨~多云
6/5/2015,68,48,48,30.08,10,3,0,1,599,多云~晴
6/6/2015,72,50,46,30.01,10,3,0,1,518,晴
6/7/2015,74,50,43,30.01,10,4,0,1,474,晴
6/8/2015,73,48,44,29.97,10,3,0,1,567,晴
6/9/2015,72,43,36,29.92,10,3,0,1,564,晴
6/10/2015,68,48,51,29.96,10,5,0,1,521,晴
6/11/2015,66,48,55,30.1,10,5,0,1,611,晴
6/12/2015,64,44,52,30.16,10,5,0,1,559,晴~多云
6/13/2015,64,44,49,30.07,10,3,0,1,716,多云
6/14/2015,69,45,44,29.98,10,3,0,1,507,多云~晴
6/15/2015,72,45,38,29.92,10,3,0,1,606,晴
6/16/2015,64,46,55,30.08,10,5,0,1,596,晴
6/17/2015,67,45,49,30.06,10,3,0,1,562,多云
6/18/2015,70,46,46,29.99,10,3,0,1,605,晴~多云
6/19/2015,66,51,61,30.11,9,4,0.07,1,501,多云~小雨
6/20/2015,66,43,44,30.06,10,4,0,1,556,小雨~多云
6/21/2015,70,45,44,29.93,10,4,0,1,434,晴
6/22/2015,67,48,53,30.08,10,5,0,2,535,晴
6/23/2015,68,45,47,30.11,10,2,0,2,514,多云
6/24/2015,72,51,47,30.07,10,2,0,2,568,晴
6/25/2015,76,52,47,30.11,10,2,0,2,569,阴
6/26/2015,76,57,51,30.04,10,5,0,2,561,晴
6/27/2015,78,54,44,29.94,10,3,0,2,458,晴
6/28/2015,76,56,49,29.94,10,2,0,2,404,晴
6/29/2015,78,59,54,29.97,10,4,0.01,2,539,雷阵雨~大雨
6/30/2015,75,56,59,30.07,10,4,0,2,548,晴
7/1/2015,76,54,46,30,10,4,0,2,531,多云~晴
7/2/2015,80,53,40,29.97,10,3,0,2,606,晴
7/3/2015,80,53,40,29.9,10,4,0,2,630,晴
7/4/2015,77,48,39,29.83,10,3,0,2,759,晴
7/5/2015,78,49,37,29.82,10,3,0,2,545,晴
7/6/2015,74,53,49,29.97,10,5,0,2,646,晴
7/7/2015,70,53,58,29.99,10,6,0,2,581,晴
7/8/2015,74,54,53,29.83,8,3,0,2,651,多云~晴
7/9/2015,73,57,60,29.74,10,3,0,2,660,晴
7/10/2015,68,54,62,29.85,10,8,0,2,648,晴
7/11/2015,68,54,60,29.92,10,6,0,2,524,多云
7/12/2015,72,54,57,30,10,6,0,2,550,小雨
7/13/2015,72,55,58,30.05,10,4,0,2,681,小雨~多云
7/14/2015,72,49,46,30.03,10,4,0,2,642,小雨~多云
7/15/2015,72,51,50,30.05,10,2,0,2,663,多云
7/16/2015,72,50,49,30.12,10,4,0,2,667,多云
7/17/2015,71,48,46,30.07,10,3,0,2,700,多云
7/18/2015,78,49,38,29.97,10,3,0,2,686,晴
7/19/2015,83,52,39,29.96,10,3,0,2,550,晴
7/20/2015,74,54,57,30.02,10,8,0,2,500,晴
7/21/2015,68,52,58,29.97,10,3,0.13,2,547,多云
7/22/2015,68,50,55,29.92,10,4,0,2,648,多云
7/23/2015,71,50,51,29.97,10,2,0,2,641,多云
7/24/2015,67,53,60,30.06,10,6,0.01,2,515,多云
7/25/2015,66,54,67,30.05,10,4,0.02,2,563,小雨
7/26/2015,66,52,66,30.07,10,2,0.1,2,363,小雨
7/27/2015,65,51,61,30.18,10,2,0.01,2,611,大雨~小雨
7/28/2015,72,51,52,30.23,10,3,0,2,672,多云~晴
7/29/2015,75,51,46,30.14,10,3,0,2,656,晴
7/30/2015,78,50,38,30.06,10,3,0,2,597,晴
7/31/2015,80,46,33,30.03,10,3,0,2,575,晴
8/1/2015,77,47,35,29.96,10,3,0,2,674,晴
8/2/2015,77,52,45,29.91,10,2,0,2,495,晴
8/3/2015,76,53,48,29.9,10,2,0,2,636,晴
8/4/2015,70,52,57,29.99,10,5,0,2,613,晴
8/5/2015,65,51,61,30.07,10,3,0,2,621,多云~晴
8/6/2015,70,50,52,30.09,10,4,0,2,635,中雨
8/7/2015,72,52,52,29.94,10,2,0,2,640,多云~晴
8/8/2015,70,57,67,29.89,10,5,0,2,566,晴~多云
8/9/2015,72,52,53,29.96,10,5,0,2,600,小雨
8/10/2015,75,52,47,29.92,10,3,0,2,588,多云
8/11/2015,76,54,47,29.93,10,3,0,2,597,小雨~多云
8/12/2015,75,56,52,29.94,10,2,0.04,2,604,晴
8/13/2015,74,57,60,29.99,10,6,0,2,632,雷阵雨~多云
8/14/2015,65,56,75,30.01,8,7,0.57,2,347,多云~小雨
8/15/2015,66,53,65,30.22,10,7,0,2,550,大雨~小雨
8/16/2015,68,52,58,30.21,10,3,0,2,557,多云~晴
8/17/2015,70,52,53,30.1,10,2,0,2,580,晴
8/18/2015,74,55,53,30,10,3,0,2,598,晴
8/19/2015,78,54,49,29.88,10,2,0,2,638,晴
8/20/2015,68,53,64,29.92,9,7,0,2,515,晴
8/21/2015,66,49,56,29.98,10,6,0,2,619,多云~小雨
8/22/2015,68,49,55,30.05,10,2,0,2,509,多云~晴
8/23/2015,70,49,49,29.95,8,1,0,2,430,晴
8/24/2015,66,48,51,30.03,10,4,0,2,629,晴
8/25/2015,68,45,45,30.05,10,2,0,2,518,多云~晴
8/26/2015,71,46,44,29.99,10,1,0,2,560,晴
8/27/2015,74,48,41,30.02,10,3,0,2,583,多云~晴
8/28/2015,70,54,56,29.9,10,6,0.01,2,496,晴
8/29/2015,66,56,70,29.67,8,8,0.18,2,274,小雨
8/30/2015,65,55,75,29.9,9,8,0.24,2,330,中雨
8/31/2015,66,53,64,29.95,10,11,0.06,2,412,小雨
9/1/2015,64,56,76,29.84,7,9,0.17,2,318,中雨~小雨
9/2/2015,63,50,65,29.89,10,7,0.02,2,447,中雨~小雨
9/3/2015,60,47,65,30,10,3,0,2,513,小雨
9/4/2015,60,47,68,30,10,2,0,2,439,小雨
9/5/2015,58,48,68,30.09,10,5,0.06,2,302,大雨~晴
9/6/2015,58,51,75,30.12,10,5,0.19,2,344,小雨
9/7/2015,66,52,66,30.18,10,1,0,2,458,小雨~多云
9/8/2015,67,54,67,30.11,10,6,0,2,409,多云
9/9/2015,69,55,64,30.07,10,2,0,2,575,多云
9/10/2015,68,56,67,30.08,10,3,0.01,2,527,多云~晴
9/11/2015,72,56,60,30.03,10,2,0,2,634,晴
9/12/2015,71,55,60,29.99,10,2,0,2,514,晴
9/13/2015,66,53,69,29.95,8,4,0.03,2,261,晴
9/14/2015,58,45,61,29.81,10,7,0,2,421,多云
9/15/2015,59,44,61,29.81,10,7,0,2,436,小雨
9/16/2015,60,46,59,29.84,10,4,0.04,2,476,小雨
9/17/2015,62,54,77,29.94,10,3,0.58,2,311,小雨
9/18/2015,64,52,67,30.09,10,5,0.01,2,494,小雨~多云
9/19/2015,66,55,69,30.01,10,7,0,2,384,多云
9/20/2015,66,58,73,29.92,9,11,0.09,2,316,多云~小雨
9/21/2015,60,47,61,30.04,10,2,0,2,401,小雨
9/22/2015,57,43,60,30.01,10,2,0,2,463,晴
9/23/2015,60,45,59,30.03,10,3,0,3,470,晴
9/24/2015,64,50,59,29.99,10,3,0,3,547,多云
9/25/2015,61,52,73,30.04,10,4,0.03,3,385,多云~小雨
9/26/2015,60,45,59,30.16,10,2,0,3,488,中雨~多云
9/27/2015,55,44,65,30.16,10,3,0,3,319,多云~晴
9/28/2015,61,47,64,30.01,10,3,0,3,504,晴
9/29/2015,62,48,62,29.93,10,1,0,3,533,晴
9/30/2015,60,50,76,30,8,3,0,3,445,晴
10/1/2015,60,50,74,30.04,7,1,0.01,3,449,多云
10/2/2015,58,51,77,30.17,8,3,0,3,434,多云~晴
10/3/2015,62,45,58,30.05,10,5,0,3,372,小雨~多云
10/4/2015,62,46,57,29.93,10,3,0,3,462,多云~晴
10/5/2015,62,48,62,29.88,10,1,0,3,489,晴
10/6/2015,60,50,70,30,10,4,0.01,3,397,晴
10/7/2015,60,55,81,30.12,8,5,0.38,3,253,多云~小雨
10/8/2015,64,57,79,30.09,9,1,0,3,431,中雨~小雨
10/9/2015,62,55,77,29.94,7,4,0.01,3,370,多云
10/10/2015,66,57,79,29.75,8,8,0.77,3,127,小雨
10/11/2015,60,49,69,30.12,10,5,0,3,319,中雨~小雨
10/12/2015,61,53,76,30.1,7,6,0.34,3,393,多云
